Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Blake Bevis,BAL_CAR,128.5,182.2,1,1,91.6,5.8
Charlie Schafer,WIT_BER,70.8,156.8,2,1,76.1,6.7
Luis Urias,NMX_THU,100.1,156.5,1,1,89.8,5.5
Jackson Brasseux,TEX_AGG,121.8,150.1,11,2,92.4,6.0
Vincent Venverloh,SAN_TOR,91.4,150.0,2,1,85.0,6.5
Caden Ammon,UNI_FIN,97.2,149.6,4,2,83.1,5.4
Drew Schultz,ROC_CHR,101.7,147.5,4,3,74.9,4.6
Coleman MacRae,CEN_BEA,115.1,144.5,17,4,83.9,6.2
Bryson Adair,UNI_TEX,118.8,141.0,10,2,84.2,5.9
Drew Talavs,ORE_BEA,125.3,140.4,28,5,89.0,5.6
Reed Tubbs,MAS_INS,79.8,138.3,9,2,83.4,5.9
Ashton Chronister,IU,92.1,137.4,3,2,85.8,6.2
Dakota Stone,UCF_KNI,135.1,135.7,18,2,92.2,5.4
Braxton Lewis,TEN_TEC,105.5,135.0,11,3,82.7,5.8
Trenton Buckley,GAL_WCS,112.5,134.8,6,1,93.6,6.0
Carson Starnes,WIN_BUL,107.0,133.5,9,3,74.2,6.0
Nick Rispoli,IND_UNI1,112.2,133.3,15,1,87.2,5.7
Ben Schorr,AUB_TIG,129.1,131.1,180,6,86.8,5.8
Tyler Pyles,MID_UNI,93.3,130.8,4,2,73.7,5.4
Kade Anderson,LSU_TIG,131.1,130.3,1397,8,87.9,5.9
Aiden O'Connell,VAN_COM,112.1,130.0,12,3,81.7,6.0
Elijah Dyer,QUI_HAW,92.2,129.9,7,2,78.1,5.5
Ethan Norby,ECU_PIR,122.7,128.6,1056,7,85.9,6.0
Andy Leon,COL_LION,121.7,128.4,30,4,83.7,5.9
Joseph Dzierwa,MIC_SPA,119.1,128.4,1265,8,87.0,6.1
Taylor Seay,TEX_BOB,103.7,128.3,28,2,86.5,6.2
Liam Doyle,TEN_VOL,129.5,128.3,1236,7,92.1,5.7
Declan Dahl,SEM_STA,118.6,128.1,88,3,87.0,6.4
Jamie Arnold,FLO_SEM,120.3,127.6,1053,7,89.0,6.5
Andrew Floyd,SAL_JAG,122.2,127.4,360,6,88.2,5.7
Gabe Craig,BAY_BEA,122.8,127.1,408,9,89.5,5.6
Connor Hults,FLO_SEM,123.3,127.1,103,4,81.5,5.4
Tanner Franklin,TEN_VOL,124.1,127.1,491,5,93.4,6.0
Boston Flannery,NOR_TAR,105.1,127.0,15,3,88.9,5.8
Colby Phillips,CAR_EAG,105.5,126.7,4,2,74.0,5.8
Logan Wash,TAM_SPA,106.6,126.5,23,2,86.8,5.7
Royce Frieburger,GRA_CHR,76.2,126.4,3,1,76.4,6.0
Cameron Flukey,COA_CHA,120.0,126.4,969,7,89.8,6.3
JD Thompson,VAN_COM,119.5,126.3,74,4,85.8,6.0
Madden Clement,VIR_TEC,116.8,126.1,56,3,86.3,6.0
Thomas Burns,TEX_LON,129.6,126.1,409,7,89.0,5.8
Parker Coil,ARK_RAZ,120.4,126.0,218,4,86.2,5.4
Justin Lamkin,TEX_AGG,124.3,125.9,1167,7,87.0,5.7
Bryce Hendricks,FRO_STA,98.9,125.8,15,4,81.8,6.8
Max Lankford,WES_TEX,108.4,125.7,89,3,82.9,6.7
Ryan Hench,NOR_TAR,112.7,125.7,18,3,83.3,5.5
Chase Stanhope,WES_FLO5,112.3,125.5,31,2,85.7,5.8
Tanner Bradley,ORE_DUC,114.1,125.4,28,4,84.5,6.3
Connor Maryniak,CHA_FOR,105.0,125.4,12,2,83.3,4.8
Cade Obermueller,IOW_HAW,125.0,125.3,1165,7,87.0,6.3
Luke Dotson,MSU_BDG,123.5,125.2,288,4,91.2,6.7
Brett Eskelson,GEO_FOX,109.7,125.1,19,2,76.7,5.9
Luke Kovach,CAL_MUS,125.7,125.0,75,4,86.5,5.4
Carlos Flores,STM_RAT,103.0,124.9,32,2,85.6,5.8
Lucas Mahlstedt,CLE_TIG,115.3,124.8,654,8,83.3,5.6
Kole Klecker,TCU_HFG,116.3,124.7,368,6,85.8,5.7
Bradley Ferrell,KEN_WIL,104.1,124.6,17,3,84.8,5.8
Cade O'Leary,MSU_BDG,110.7,124.3,39,3,86.2,6.4
Jacob Morrison,COA_CHA,119.7,124.2,1080,7,87.2,6.3
Dylan Volantis,TEX_LON,122.4,124.1,588,6,85.6,5.3
Gunnar Nichols,WAS_HUS,115.5,124.0,389,6,82.6,6.1
Caleb Heuertz,ANG_STA,129.2,123.9,41,5,82.7,5.1
Garrett Arredondo,UNI_TEX,117.9,123.8,216,3,85.5,5.8
Jace Szaflarski,LOC_HAV,108.3,123.8,14,3,83.3,6.1
Gage Wood,ARK_RAZ,124.5,123.8,371,8,92.7,6.1
Nick Robertson,GAN_UNI,94.1,123.8,15,2,79.6,6.2
Thomas Skrobe,HOL_CRU,120.2,123.8,45,2,87.2,5.3
Ben Jacobs,ARI_SUN,118.8,123.8,1384,8,87.2,5.6
Nelson Keljo,ORE_BEA,126.1,123.7,662,6,90.6,6.4
Tyler Bremner,SAN_GAU,130.8,123.5,892,7,89.8,5.7
Ben Grable,IU,120.3,123.5,862,4,88.8,6.3
Hunter Dietz,ARK_RAZ,130.2,123.5,27,3,92.0,6.4
Michael Gillen,CLE_TIG,107.4,123.5,36,5,86.5,5.9
Hayden Johnson,COA_CHA,126.9,123.4,499,5,88.2,5.8
Kyson Witherspoon,OKL_SOO,127.8,123.4,1275,8,91.4,5.6
Cameron Hodges,STM_RAT,101.1,123.4,31,3,84.6,5.9
Johnny Stacy,ANG_STA,111.7,123.4,76,2,88.9,6.2
Kaleb Kantola,LIP_BIS,125.5,123.3,173,4,90.2,6.9
Jason Masick,WAG_SEA,109.3,123.3,18,2,91.0,5.9
Alezeah Gutierrez,ANG_STA,108.1,123.2,77,3,86.8,4.9
Matthew Matthijs,NOR_TAR,127.2,123.2,342,7,88.2,5.5
Kaidan Wilson,TEX_AGG,135.5,123.1,363,5,89.7,5.6
Andrew Sentlinger,VIR_TEC,126.0,123.0,333,8,90.0,6.4
Dominic Fritton,NOR_WOL,126.3,123.0,1392,7,89.5,6.1
Landon Beidelschies,ARK_RAZ,122.0,123.0,896,6,87.4,5.5
Mason Pfeil,MAN_MOU,91.6,122.9,8,4,78.6,5.4
Jake Crews,GEO_PAN,120.8,122.9,28,3,87.9,6.7
Abe Chancellor,AUB_TIG,120.1,122.9,97,5,82.5,6.2
Cole Carlon,ARI_SUN,128.6,122.7,695,8,89.0,5.1
Owen Kramkowski,ARI_WIL,113.1,122.6,942,7,89.1,6.2
J.D. Thompson,VAN_COM,117.4,122.6,1162,6,87.0,5.8
Ethan Kleinschmit,ORE_BEA,119.7,122.5,984,8,86.8,6.2
Ethan Young,ECU_PIR,122.2,122.4,972,9,89.6,5.6
Jack Ohman,YAL_BUL,125.4,122.1,917,7,89.4,5.8
Brayden Jones,OLE_REB,124.9,122.1,303,5,92.2,5.7
Connor Knox,GEO_PAT,118.8,122.0,310,5,88.7,5.7
Cory Ronan,HAW_WAR,124.7,122.0,137,4,87.7,5.8
Jackson Flora,SAN_GAU,123.3,122.0,876,7,90.9,6.3
Dane Burns,MSU_BDG,120.9,121.9,165,4,87.9,6.2
Zane Taylor,UNC_SEA,114.9,121.8,1189,8,88.5,5.7
Daniel Brooks,COL_CHA,112.0,121.8,875,7,87.0,6.3
Hudson Hamilton,TEX_LON,128.4,121.8,189,5,86.5,5.3
Sean Episcope,PRI_TIG,119.2,121.8,304,7,89.2,5.5
Antoine Jean,HOU_COU,124.9,121.7,960,8,86.6,5.6
Eddie Bieniasz,ADR_COL,84.2,121.6,6,1,77.6,4.3
Tyler Van Dyke,STE_HAT,117.2,121.6,445,7,88.4,6.0
Bo Rhudy,KEN_OWL,121.6,121.6,447,3,89.2,6.0
Andrelys Payamps,ION_GAE,116.7,121.6,72,4,89.3,5.3
Jake Marciano,VIR_TEC,114.0,121.6,972,8,87.2,6.0
Charlie Foster,MSU_BDG,128.9,121.5,149,6,90.4,6.7
Noah Palmese,WEB_INT1,120.2,121.5,97,3,90.5,6.0
Chase Meyer,WES_MOU,124.4,121.5,686,6,89.2,5.7
Holden DeJong,NJI_HIG,119.0,121.5,307,5,87.9,6.4
Braden Simms,PIE_LIO,117.9,121.4,47,2,83.5,6.0
Clayton Freshcorn,TEX_AGG,118.9,121.4,304,5,90.1,6.2
Brian Curley,GEO_BUL,128.7,121.3,954,9,90.6,5.6
Hunter Bond,BLI_JC,112.3,121.3,32,2,83.6,5.6
Ryan Prager,TEX_AGG,120.4,121.3,1140,5,83.7,6.0
Jake Knapp,NOR_TAR,117.6,121.3,1282,9,89.3,5.7
Marcus Phillips,TEN_VOL,118.7,121.2,1083,4,91.9,6.2
Evan Chrest,FLO_SEM,114.8,121.2,162,5,87.7,5.4
Mason Morris,OLE_REB,124.0,121.1,737,6,92.6,6.0
Jacob Dudan,NOR_WOL,132.3,121.1,459,5,89.1,5.2
CJ Williams,TAM_SPA,108.4,121.0,62,4,85.4,5.4
Jack Martinez,ARI_SUN,119.2,121.0,1284,6,84.9,6.5
Tim Baird,MAR_THU,128.4,121.0,441,8,90.0,5.8
Matthew Lanzendorfer,VIR_CAV,120.2,121.0,499,6,88.7,5.6
Luke Broderick,NEB,128.7,120.9,516,8,87.5,5.4
Toby Twist,ORE_DUC,119.4,120.9,38,3,89.1,5.5
Jake Goble,SOU_JAC,121.4,120.9,135,4,85.5,5.4
Stone Simmons,MSU_BDG,118.8,120.8,485,6,87.5,5.5
Jared Guell,ERS_COL,104.4,120.8,207,3,81.0,5.0
Ryan Marohn,NOR_WOL,115.3,120.8,1132,5,86.6,5.6
Robert Orloski,UTS_ROA,121.7,120.8,953,7,88.2,5.3
Dylan Thompson,LSU_TIG,89.2,120.7,6,4,80.6,6.3
Matthew Shorey,VAN_COM,113.2,120.7,195,6,86.5,5.5
Will McEntire,ARK_RAZ,118.3,120.7,348,6,86.3,5.9
Isaac Lyon,GRA_CAN,112.8,120.7,459,5,86.7,6.2
Sean Youngerman,OKL_COW,123.7,120.7,632,7,90.9,5.4
Aidan Knaak,CLE_TIG,118.5,120.7,1286,10,85.8,6.1
Easton Hawk,UCLA,115.5,120.6,275,7,90.9,6.6
Will Holmes,CIT_BUL,126.0,120.6,445,6,87.2,5.8
Max Stammel,DUK_BLU,123.1,120.5,367,4,85.5,6.0
Joseph Fredericks,WES_MOU,103.3,120.5,10,2,81.1,5.6
Austin Maxey,MIL_UNI,102.7,120.5,13,2,80.8,5.2
Maddox Webb,CIT_BUL,115.9,120.5,831,8,86.7,5.9
James Tallon,DUK_BLU,121.8,120.5,557,6,89.5,6.5
Mason Peters,DAL_PAT,120.5,120.5,607,8,86.8,6.2
Devon King,CSD_TRI,120.4,120.4,323,8,84.7,5.3
Tucker Chamberlin,MIL_UNI2,101.3,120.4,26,4,81.8,5.9
Joshua Stewart,TEX_AGG,130.5,120.4,9,3,83.2,5.6
Ian Standlee,ARM_BLA,98.2,120.4,18,2,77.4,5.5
Blake Morgan,OLD_MON,109.5,120.4,813,7,82.6,6.2
Jackson Dennies,NOT_IRI,111.5,120.4,650,10,85.1,6.6
Laif Palmer,ORE_BEA,122.8,120.3,254,4,91.4,6.9
Santiago Garcia,ORE_DUC,132.1,120.3,412,3,88.4,6.0
Jared Spencer,TEX_LON,126.0,120.3,764,6,90.5,5.5
Cody Heselton,MAR_RED,88.4,120.3,13,4,80.4,5.6
Zack Hampson,LIN_CCW,91.7,120.3,15,3,79.0,5.5
Alton Davis,GEO_BUL,122.9,120.2,281,7,90.5,6.5
Kyle Froehlich,UNI_TEX,110.2,120.2,434,6,86.5,5.9
Isaiah Magdaleno,HAW_WAR,111.6,120.2,177,6,83.4,6.2
Cole Gilley,XAV_MUS,121.2,120.2,83,4,84.6,5.0
Wes Mendes,FLO_SEM,119.7,120.1,1044,6,86.8,5.9
Gabe Gaeckle,ARK_RAZ,126.8,120.1,999,6,89.8,6.0
Zachary Root,ARK_RAZ,116.4,120.1,1237,7,86.9,5.7
Ethan Waters,CAR_ALB,112.8,120.0,6,2,76.9,5.2
Hunter Alberini,ARI_WIL,118.7,120.0,364,6,89.2,6.0
Chase Shores,LSU_TIG,119.6,120.0,956,5,92.9,6.1
Juan Vargas,TEN_TEC,120.1,119.9,141,4,88.5,5.7
Davis Aiken,COL_CHA,119.6,119.9,413,5,90.1,5.4
Nicholas Wilson,ANG_STA,114.5,119.9,87,3,88.0,6.3
Michael Salina,STB_BON,116.4,119.9,144,3,90.8,6.2
Brandon Arvidson,TEN_VOL,126.7,119.9,421,6,87.8,5.6
Andrew Shaffner,NOR_WOL,117.0,119.8,524,4,86.4,5.6
Mason Koch,AUB_TIG,119.5,119.8,51,4,84.8,5.9
Jace Taylor,LEW_STA,124.9,119.8,27,3,88.9,5.9
Will Kiesel,LAM_CAR,108.7,119.7,71,6,82.5,5.5
Charlie Weber,SLU_BILL,114.8,119.7,458,8,84.3,6.3
Danny Thompson,UNC_SPA,115.1,119.7,887,5,90.5,5.5
Jarrette Bonet,SAN_JAC,117.4,119.6,138,3,89.8,6.0
Jaxon Shineflew,SAL_JAG,120.8,119.6,955,7,84.4,5.3
Christian Foutch,ARK_RAZ,124.0,119.6,348,8,95.3,6.2
Griffin Hugus,MIA_HUR,122.9,119.6,1319,7,89.0,5.6
Parker Detmers,LOU_CAR,113.4,119.6,273,6,88.1,5.7
Pico Kohn,MSU_BDG,124.2,119.5,1193,6,87.6,5.7
Cameron Tilly,AUB_TIG,120.7,119.5,744,7,86.3,5.9
Ryan Beitel,UNI_BRI,115.1,119.5,57,3,86.5,5.2
Jeter Schuerman,CSU_BAK,120.6,119.4,113,3,91.5,6.3
Sage Ferguson,CMU_MAV,101.9,119.4,44,2,88.1,6.7
Griffin Kirn,WES_MOU,111.6,119.3,1127,10,86.6,5.5
Will Bastin,SPA_UNI,90.0,119.3,8,2,81.3,5.9
Griffin Graves,AUB_TIG,125.4,119.3,347,6,89.6,5.8
Hunter Shaw,OSU_BUC,115.1,119.3,695,9,85.2,6.0
Owen Kelly,SLU_BILL,111.0,119.3,677,6,89.0,6.3
Will McCausland,OLE_REB,111.1,119.3,556,7,88.3,6.1
Cody Bowker,VAN_COM,119.5,119.3,1060,7,88.3,5.8
Miller Green,VAN_COM,118.8,119.2,336,7,87.2,5.9
A.J. Russell,TEN_VOL,119.1,119.2,251,4,90.9,6.0
Noah Chapman,UNC_SPA,115.8,119.2,996,7,86.6,5.2
Reed Garris,CLE_TIG,117.7,119.2,345,7,90.4,6.2
Colton Ouellette,LIN_CCW,92.6,119.2,11,2,89.4,5.7
Cole Stokes,ORE_DUC,123.0,119.2,354,4,88.4,5.8
Caden Conn,MOU_VER1,102.6,119.2,28,3,80.8,6.3
Luke Schmolke,WAK_DEA,113.8,119.2,568,7,84.8,5.4
JJ Slack,KAN_WIL,110.9,119.1,521,4,87.3,6.7
Julian Tonghini,ARI_WIL,122.9,119.1,359,5,88.6,5.6
Mateo Gray,UCF_KNI,106.2,119.1,55,6,84.3,5.6
Caden Noah,ARL_MAV,111.8,119.0,455,7,82.6,5.1
Samuel Dutton,AUB_TIG,112.8,119.0,1190,8,84.2,5.5
Haiden Leffew,WAK_DEA,124.1,118.9,548,10,87.9,5.7
Cohen Feser,TCU_HFG,109.9,118.9,346,5,85.6,5.4
Nathan Williams,MSU_BDG,121.9,118.9,445,3,90.2,6.5
Aidan King,FLA_GAT,114.6,118.8,1056,6,89.0,6.1
