Pitcher,PitcherTeam,TaggedPitchType,StuffPlus,PitchingPlus,Pitch_Count,Avg_Velocity,Avg_InducedVert,Avg_HorzBreak,Avg_SpinRate,Avg_Extension,Avg_RelHeight,Avg_RelSide
 Benjamin,IOW_CEN,Fastball,87.5,89.4,59,88.2,11.6,1.9,2154.5,6.0,6.0,0.3
 Benjamin,IOW_CEN,Slider,109.0,114.9,37,79.4,0.1,-11.0,2254.9,5.8,5.7,0.9
 Benjamin,IOW_CEN,Curveball,110.2,105.5,32,78.9,-8.8,-1.6,2042.0,5.6,6.2,0.1
 Benjamin,IOW_CEN,Cutter,109.2,86.5,5,82.3,2.0,-3.8,2123.7,5.3,5.7,0.7
 Benjamin,IOW_CEN,ChangeUp,86.5,21.3,1,82.3,13.4,-0.4,2328.0,5.7,5.8,0.8
 Sanchez,BET_WIL,Fastball,82.6,171.7,1,83.5,15.3,-9.3,1821.3,5.0,5.1,-1.2
 Sanchez,BET_WIL,FourSeamFastBall,82.9,17.3,1,83.8,14.6,-14.0,1725.7,5.2,5.1,-1.1
 Tollett,LOU_CAJ,Sinker,90.1,99.3,180,88.4,5.3,15.2,1908.1,6.3,5.8,1.2
 Tollett,LOU_CAJ,Slider,108.9,116.3,173,82.9,0.0,-2.8,2145.1,5.8,5.8,1.3
 Tollett,LOU_CAJ,Undefined,95.4,107.1,144,85.7,5.0,8.6,1910.3,6.3,5.8,1.3
 Tollett,LOU_CAJ,Cutter,103.1,108.8,135,85.6,3.9,0.2,2123.8,6.0,5.8,1.3
 Tollett,LOU_CAJ,Fastball,82.8,86.5,114,88.8,8.1,13.4,1939.5,6.4,5.9,1.3
 Tollett,LOU_CAJ,ChangeUp,94.3,86.3,59,83.5,6.9,10.4,1575.1,6.0,5.8,1.3
 Tollett,LOU_CAJ,Curveball,107.6,111.4,51,80.2,-5.9,-8.3,2176.0,5.7,5.8,1.3
 Tollett,LOU_CAJ,Other,86.6,81.1,6,86.1,5.0,6.4,2033.9,6.3,5.8,1.5
A.J. Hiestand,WAG_SEA,Slider,93.7,71.6,13,76.9,1.8,3.3,2096.6,4.9,5.0,1.2
A.J. Hiestand,WAG_SEA,Curveball,95.2,78.6,10,72.8,-4.3,-2.3,2303.4,4.7,5.2,0.9
A.J. Hiestand,WAG_SEA,Fastball,82.5,103.4,8,85.0,16.5,17.5,2061.6,5.0,5.3,1.3
A.J. Hiestand,WAG_SEA,ChangeUp,96.4,84.5,4,77.2,1.9,7.2,2007.4,5.1,5.0,1.3
A.J. Russell,TEN_VOL,Fastball,115.0,120.4,176,93.7,14.3,16.6,2402.0,6.1,5.0,2.0
A.J. Russell,TEN_VOL,Slider,138.0,123.1,44,84.8,5.3,-7.2,2532.8,5.6,5.1,2.0
A.J. Russell,TEN_VOL,ChangeUp,115.9,114.3,22,85.3,5.4,18.6,2109.0,6.0,4.8,2.2
A.J. Russell,TEN_VOL,Curveball,114.2,88.7,9,79.0,-4.2,-8.6,2427.0,5.7,5.2,2.1
AJ Beltre,SAN_TOR,Fastball,89.3,92.7,43,91.1,13.6,11.6,2142.0,5.9,5.7,1.5
AJ Beltre,SAN_TOR,Slider,109.7,104.9,22,78.6,-7.0,-13.9,2436.4,5.1,5.6,1.6
AJ Beltre,SAN_TOR,Curveball,106.5,73.8,3,78.7,-10.4,-12.7,2336.4,5.1,5.7,1.6
AJ Beltre,SAN_TOR,ChangeUp,102.3,148.5,1,83.8,7.4,17.4,1572.8,5.6,5.7,1.8
AJ Buenaseda,Gol_W,Fastball,89.6,88.2,40,82.3,13.3,13.5,1901.7,6.3,5.4,1.3
AJ Buenaseda,Gol_W,ChangeUp,94.7,105.2,10,77.3,1.6,12.2,1361.4,6.1,5.5,1.3
AJ Buenaseda,Gol_W,Slider,91.4,82.8,10,75.7,-0.2,-6.3,2247.5,5.7,5.4,1.4
AJ Callaway,CAR_UNI1,Fastball,68.6,64.4,19,74.1,14.4,12.1,1635.1,5.5,6.4,1.2
AJ Callaway,CAR_UNI1,Curveball,87.8,23.6,2,65.9,-1.9,-14.6,2002.6,4.8,6.2,1.6
AJ Camp,CHA_FOR,Slider,125.8,123.4,234,81.0,3.9,5.7,2245.9,5.8,5.6,-2.7
AJ Camp,CHA_FOR,Fastball,101.4,112.6,192,90.6,16.5,-8.0,2170.2,5.9,6.1,-1.9
AJ Camp,CHA_FOR,ChangeUp,117.1,103.9,103,80.4,10.4,-12.6,1619.7,6.1,5.6,-2.5
AJ Camp,CHA_FOR,Cutter,124.0,112.8,15,81.1,7.0,3.1,2203.8,6.0,5.6,-2.9
AJ Camp,CHA_FOR,FourSeamFastBall,123.8,146.4,14,91.2,19.5,-9.4,2160.5,6.1,6.2,-2.0
AJ Camp,CHA_FOR,Undefined,115.6,108.4,8,86.6,15.9,-10.1,1943.8,5.9,6.0,-2.2
